2.705,-1.6499665694788026
2.71,-1.2691553487067446
2.715,-0.8702326331793806
2.72,-0.4632441063486722
2.725,-0.05746368131614063
2.73,0.3388402501700044
2.735,0.7182509102036104
2.74,1.0738646540713073
2.745,1.3990299194532274
2.75,1.6873614457992554
2.755,1.9330773881621746
2.76,2.1315441827141877
2.765,2.2798132815730283
2.77,2.3769367410780533
2.775,2.4239466314718126
2.78,2.423524821310942
2.785,2.3795069944627927
2.79,2.2964063028160986
2.795,2.179095869538396
2.8,2.0326859322928676
2.805,1.8625261864925011
2.81,1.6742086874059752
2.815,1.4734645740282413
2.82,1.265923558643764
2.825,1.0567947326104925
2.83,0.8505820768814396
2.835,0.6509397238598117
2.84,0.46070628345824666
2.845,0.2820704429877018
2.85,0.11675846176570258
2.855,-0.033868755031774146
2.86,-0.16886343547341104
2.865,-0.28784925329356564
2.87,-0.3911829158791735
2.875,-0.4799940454128964
2.88,-0.556027556195539
2.885,-0.6213063525684223
2.89,-0.6777243804623566
2.895,-0.7267243317994919
2.9,-0.7691866781886262
2.905,-0.8055680557342244
2.91,-0.8362180661565897
2.915,-0.8617252402951295
2.92,-0.883131699531402
2.925,-0.9019164219937374
2.93,-0.9197496389169415
2.935,-0.9381172729752086
2.94,-0.957960615393075
2.945,-0.9794544083988717
2.95,-1.0019716030482964
2.955,-1.0241956352936472
2.96,-1.0442854141135451
2.965,-1.0600002211751303
2.97,-1.0687462080847336
2.975,-1.0675803417550351
2.98,-1.0532586305628824
2.985,-1.0224130187626275
2.99,-0.9718839739962447
2.995,-0.8991520536853672
3.0,-0.8027458113993913
3.005,-0.6824922932528616
3.01,-0.5395301940705439
3.015,-0.37610137528299126
3.02,-0.19522810263742463
3.025,-0.00042511961436515576
3.03,0.20443514190744355
3.035,0.4150763177445568
3.04,0.6266694548935063
3.045,0.8337298679822899
3.05,1.0302026514890892
3.055,1.2097996812720369
3.06,1.36653115294301
3.065,1.4952725880354119
3.07,1.5921747504275552
3.075,1.654778733646788
3.08,1.6818194144222431
3.085,1.6728328841992124
3.09,1.627765617488166
3.095,1.5467754879331872
3.1,1.4303193067471742
3.105,1.2794817081744574
3.11,1.096380820487925
3.115,0.884443263370159
3.12,0.6483952523544838
3.125,0.3939431857223851
3.13,0.1272571342779024
3.135,-0.14554141597428266
3.14,-0.41869190704684084
3.145,-0.6868087010297258
3.15,-0.9446422384958783
3.155,-1.1867568640244581
3.16,-1.4073412090148563
3.165,-1.6003138808101196
3.17,-1.759758160817551
3.175,-1.8805723848350941
3.18,-1.9591229973086446
3.185,-1.993677891021209
3.19,-1.984480295403062
3.195,-1.9334592138918079
3.2,-1.8437007490981188
3.205,-1.718871848806975
3.21,-1.562771016820658
3.215,-1.3790956825665477
3.22,-1.1714088146993664
3.225,-0.9432096068960985
3.23,-0.697997420873886
3.235,-0.439264061718728
3.24,-0.17042537622170983
3.245,0.10523583740888201
3.25,0.3845324470215889
3.255,0.6642037867481753
3.26,0.9406562162084605
3.265,1.2097245493646407
3.27,1.4665863100291974
3.275,1.7059170269636899
3.28,1.9222825589935697
3.285,2.1106646560386384
3.29,2.2669548578888183
3.295,2.3882587495027594
3.3,2.472925781682441
3.305,2.5203271637031914
3.31,2.5304982737793957
3.315,2.503802057619356
3.32,2.4407409888241016
3.325,2.341964165403565
3.33,2.2084228211144423
3.335,2.041565319219385
3.34,1.843458017428124
3.345,1.6167689660746793
3.35,1.3646285391847353
3.355,1.0904446425121643
3.36,0.7977684897034415
3.365,0.49027233084661304
3.37,0.17183229677086487
3.375,-0.15335601014781597
3.38,-0.4807294733150375
